Entrez_ID	DiseaseName	Disease_MeSHorOMIM_ID
50518	Diabetes Mellitus	MESH:D003920
50518	Diabetes Mellitus, Type 2	MESH:D003924
50518	Liver Neoplasms	MESH:D008113
50518	Neoplasms	MESH:D009369
50518	Obesity	MESH:D009765
50518	Pigmentation Disorders	MESH:D010859
1	Hepatomegaly	MESH:D006529
2	Acute Kidney Injury	MESH:D058186
2	Adenoma, Liver Cell	MESH:D018248
2	Alzheimer Disease	MESH:D000544
2	Carcinoma, Hepatocellular	MESH:D006528
2	Colonic Neoplasms	MESH:D003110
2	Hepatolenticular Degeneration	MESH:D006527
2	Liver Cirrhosis	MESH:D008103
2	Liver Cirrhosis, Experimental	MESH:D008106
2	Lung Diseases	MESH:D008171
2	Lung Neoplasms	MESH:D008175
2	Nephrotic Syndrome	MESH:D009404
144568	Otitis Media	MESH:D010033
53947	Burkitt Lymphoma	MESH:D002051
8086	Achalasia Addisonianism Alacrimia syndrome	MESH:C536008
8086	Prostatic Neoplasms	MESH:D011471
13	Liver Cirrhosis, Experimental	MESH:D008106
51166	Liver Cirrhosis, Experimental	MESH:D008106
79719	Keratoderma, Palmoplantar	MESH:D007645
79719	Keratosis palmoplantaris papulosa	MESH:C536161
15	Sleep Disorders, Circadian Rhythm	MESH:D020178
16	Charcot-Marie-Tooth Disease, Axonal, Type 2n	MESH:C567653
10157	Hyperlysinemias	MESH:D020167
10157	Saccharopinuria	MESH:C537218
18	Autistic Disorder	MESH:D001321
18	Gamma aminobutyric acid transaminase deficiency	MESH:C535407
18	Gastroesophageal Reflux	MESH:D005764
18	Genetic Predisposition to Disease	MESH:D020022
18	Lethargy	MESH:D053609
18	Liver Cirrhosis, Experimental	MESH:D008106
18	Muscle Hypotonia	MESH:D009123
18	Psychomotor Disorders	MESH:D011596
18	Reflex, Abnormal	MESH:D012021
18	Seizures	MESH:D012640
19	Atherosclerosis	MESH:D050197
19	Colorectal Neoplasms	MESH:D015179
19	Familial HDL deficiency	MESH:C538394
19	Hypercholesterolemia	MESH:D006937
19	HYPERCHOLESTEROLEMIA, FAMILIAL	OMIM:143890
